Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
IT项目管理,2020-02-24,08:00 AM,2020-02-24,09:45 AM,False,芦鹏宇,正心604,True
IT项目管理,2020-03-02,08:00 AM,2020-03-02,09:45 AM,False,芦鹏宇,正心604,True
IT项目管理,2020-03-09,08:00 AM,2020-03-09,09:45 AM,False,芦鹏宇,正心604,True
IT项目管理,2020-03-16,08:00 AM,2020-03-16,09:45 AM,False,芦鹏宇,正心604,True
IT项目管理,2020-03-23,08:00 AM,2020-03-23,09:45 AM,False,芦鹏宇,正心604,True
IT项目管理,2020-03-30,08:00 AM,2020-03-30,09:45 AM,False,芦鹏宇,正心604,True
IT项目管理,2020-04-06,08:00 AM,2020-04-06,09:45 AM,False,芦鹏宇,正心604,True
IT项目管理,2020-04-13,08:00 AM,2020-04-13,09:45 AM,False,芦鹏宇,正心604,True
管理应用系统,2020-04-20,10:00 AM,2020-04-20,11:45 AM,False,祁巍,正心427,True
管理应用系统,2020-04-27,10:00 AM,2020-04-27,11:45 AM,False,祁巍,正心427,True
管理应用系统,2020-05-04,10:00 AM,2020-05-04,11:45 AM,False,祁巍,正心427,True
管理应用系统,2020-05-11,10:00 AM,2020-05-11,11:45 AM,False,祁巍,正心427,True
管理应用系统,2020-05-18,10:00 AM,2020-05-18,11:45 AM,False,祁巍,正心427,True
管理应用系统,2020-05-25,10:00 AM,2020-05-25,11:45 AM,False,祁巍,正心427,True
管理应用系统,2020-06-01,10:00 AM,2020-06-01,11:45 AM,False,祁巍,正心427,True
管理应用系统,2020-06-08,10:00 AM,2020-06-08,11:45 AM,False,祁巍,正心427,True
数据仓库与数据挖掘,2020-04-14,10:00 AM,2020-04-14,11:45 AM,False,崔宝灵,正心314,True
数据仓库与数据挖掘,2020-04-21,10:00 AM,2020-04-21,11:45 AM,False,崔宝灵,正心314,True
数据仓库与数据挖掘,2020-04-28,10:00 AM,2020-04-28,11:45 AM,False,崔宝灵,正心314,True
